image_name,"x1, y1, confidence1","x2, y2, confidence2","x3, y3, confidence3","x4, y4, confidence4","x5, y5, confidence5","x6, y6, confidence6","x7, y7, confidence7","x8, y8, confidence8","x9, y9, confidence9","x10, y10, confidence10","x11, y11, confidence11","x12, y12, confidence12","x13, y13, confidence13","x14, y14, confidence14","x15, y15, confidence15","x16, y16, confidence16","x17, y17, confidence17",lable
detected_0000.png,"(0.23183626, 0.4018689, 0.6873092651367188)","(0.23201144, 0.39341405, 0.7742170691490173)","(0.0, 0.0, 0.13929098844528198)","(0.24931245, 0.3706178, 0.902386486530304)","(0.0, 0.0, 0.10560432821512222)","(0.27468523, 0.40023002, 0.9937269687652588)","(0.2885847, 0.36713132, 0.8907807469367981)","(0.2807646, 0.5110179, 0.9888070821762085)","(0.30428854, 0.447534, 0.6015875935554504)","(0.2589377, 0.56608105, 0.9599804878234863)","(0.27113327, 0.54415166, 0.5900847315788269)","(0.35009208, 0.51168036, 0.9920099973678589)","(0.3610276, 0.5017281, 0.9683208465576172)","(0.35578343, 0.63744074, 0.9814436435699463)","(0.37335378, 0.6146874, 0.9340136051177979)","(0.3784255, 0.7382342, 0.9156400561332703)","(0.39716864, 0.7062468, 0.8410773873329163)",0
detected_0002.png,"(0.24967717, 0.35302243, 0.702923059463501)","(0.25212854, 0.3460817, 0.7791601419448853)","(0.0, 0.0, 0.1710943877696991)","(0.26767623, 0.34162995, 0.9018670320510864)","(0.0, 0.0, 0.11861159652471542)","(0.28599927, 0.39102003, 0.9921878576278687)","(0.3000536, 0.35480255, 0.8796953558921814)","(0.3022376, 0.4973067, 0.9822738766670227)","(0.31642118, 0.42396158, 0.539048969745636)","(0.31796432, 0.5864852, 0.939987063407898)","(0.31616244, 0.5275189, 0.5072324872016907)","(0.35489768, 0.5085705, 0.9903389811515808)","(0.36565644, 0.4986288, 0.9626084566116333)","(0.35301661, 0.630053, 0.981700599193573)","(0.37164018, 0.6120236, 0.9363506436347961)","(0.37142253, 0.7357183, 0.9301761984825134)","(0.39045414, 0.70875114, 0.8666622638702393)",0
detected_0004.png,"(0.2513512, 0.35320073, 0.668058454990387)","(0.25452355, 0.34728062, 0.7242799401283264)","(0.0, 0.0, 0.17356449365615845)","(0.27164513, 0.34081045, 0.8426275253295898)","(0.0, 0.0, 0.10073255002498627)","(0.29208377, 0.38665658, 0.9856764078140259)","(0.29287928, 0.3453647, 0.8550282120704651)","(0.3071431, 0.49442002, 0.9713172912597656)","(0.30066133, 0.3947808, 0.5590690970420837)","(0.32431507, 0.59120965, 0.9179640412330627)","(0.3060135, 0.47496456, 0.5252956748008728)","(0.35480684, 0.50470567, 0.9873203039169312)","(0.35667583, 0.49383622, 0.9597084522247314)","(0.36026785, 0.6272041, 0.9779226779937744)","(0.36874825, 0.611366, 0.9376163482666016)","(0.37685496, 0.72838944, 0.9252892136573792)","(0.38679183, 0.70835876, 0.8737214803695679)",0
detected_0006.png,"(0.25232887, 0.35730225, 0.736762523651123)","(0.25571057, 0.35005155, 0.7664532661437988)","(0.0, 0.0, 0.2594469487667084)","(0.2732796, 0.3391659, 0.8286214470863342)","(0.0, 0.0, 0.13027463853359222)","(0.29571548, 0.37987888, 0.9838554263114929)","(0.28624797, 0.35757005, 0.8726725578308105)","(0.30972788, 0.48758265, 0.9635152220726013)","(0.29862145, 0.44196507, 0.5853661298751831)","(0.32518125, 0.59062546, 0.9030844569206238)","(0.3106966, 0.5518173, 0.5399352312088013)","(0.35694423, 0.50375015, 0.9844400882720947)","(0.35177052, 0.4999651, 0.9564247131347656)","(0.36416206, 0.6251414, 0.9729835391044617)","(0.36587936, 0.61610395, 0.9318802356719971)","(0.37949324, 0.7249417, 0.9160515069961548)","(0.38478547, 0.7117949, 0.8659616708755493)",0
detected_0008.png,"(0.25252742, 0.34906724, 0.531182050704956)","(0.25395742, 0.34246933, 0.6209771037101746)","(0.0, 0.0, 0.08962393552064896)","(0.26926997, 0.3366048, 0.8576866984367371)","(0.0, 0.0, 0.08325350284576416)","(0.28955895, 0.38606262, 0.9865992069244385)","(0.30840626, 0.33904776, 0.8379315137863159)","(0.30540967, 0.49766645, 0.9747542142868042)","(0.31922215, 0.37611884, 0.5257602334022522)","(0.32631487, 0.59477156, 0.9184514880180359)","(0.0, 0.0, 0.48204484581947327)","(0.3509095, 0.5122117, 0.9875555634498596)","(0.36518058, 0.49875596, 0.956652045249939)","(0.3562395, 0.6307364, 0.9766180515289307)","(0.37543195, 0.6105689, 0.929008960723877)","(0.37341908, 0.73286986, 0.9150457978248596)","(0.39057902, 0.7039372, 0.8525515198707581)",0
detected_0010.png,"(0.0, 0.0, 0.46291735768318176)","(0.25454795, 0.3402442, 0.5719273686408997)","(0.0, 0.0, 0.07176446914672852)","(0.26813695, 0.33603972, 0.8714008331298828)","(0.0, 0.0, 0.10011399537324905)","(0.28571105, 0.3882701, 0.9851175546646118)","(0.31953964, 0.3395756, 0.8304131627082825)","(0.30532935, 0.503709, 0.9677526950836182)","(0.0, 0.0, 0.48180320858955383)","(0.32843527, 0.5989082, 0.8899855613708496)","(0.0, 0.0, 0.42141205072402954)","(0.34606838, 0.51813513, 0.9833586812019348)","(0.36941758, 0.5033349, 0.9442485570907593)","(0.35515696, 0.6333597, 0.9688283205032349)","(0.37515667, 0.6100026, 0.910481333732605)","(0.37340334, 0.7375058, 0.8935256004333496)","(0.38804775, 0.7042677, 0.8228878974914551)",0
detected_0012.png,"(0.25949094, 0.34198904, 0.7624039053916931)","(0.26256996, 0.3323196, 0.7635377049446106)","(0.0, 0.0, 0.32372912764549255)","(0.2806464, 0.32421717, 0.8037716746330261)","(0.0, 0.0, 0.16747574508190155)","(0.3055822, 0.3689813, 0.9794942140579224)","(0.29014423, 0.3689853, 0.8952586054801941)","(0.3193703, 0.47541752, 0.9484888315200806)","(0.30501932, 0.474409, 0.6428378224372864)","(0.33011585, 0.59064186, 0.8742303848266602)","(0.32040766, 0.5845421, 0.5696335434913635)","(0.35731727, 0.5108608, 0.9787417650222778)","(0.3472202, 0.5157464, 0.951913595199585)","(0.36906835, 0.62490064, 0.9583399295806885)","(0.36302948, 0.62826914, 0.9152917861938477)","(0.3848132, 0.7230566, 0.8755810856819153)","(0.37944284, 0.721335, 0.8245067000389099)",0
detected_0014.png,"(0.259352, 0.34709933, 0.7135694026947021)","(0.26187798, 0.3376421, 0.7202391624450684)","(0.0, 0.0, 0.2643063962459564)","(0.2790189, 0.32721516, 0.7908266186714172)","(0.0, 0.0, 0.14739666879177094)","(0.30387002, 0.37012702, 0.9780775308609009)","(0.29180703, 0.3660744, 0.8796519041061401)","(0.3175266, 0.48045242, 0.9492061138153076)","(0.30640006, 0.47197258, 0.6192561388015747)","(0.32951292, 0.5921685, 0.8740670084953308)","(0.32072255, 0.5841795, 0.5496946573257446)","(0.3559177, 0.51175743, 0.9788240194320679)","(0.34825987, 0.5150405, 0.9501086473464966)","(0.3677285, 0.626182, 0.9593582153320312)","(0.3638973, 0.6272633, 0.9141620397567749)","(0.3843665, 0.72447497, 0.8789919018745422)","(0.37979507, 0.7206237, 0.825552225112915)",0
detected_0016.png,"(0.26365885, 0.33768776, 0.8754459619522095)","(0.26849818, 0.32665193, 0.8688804507255554)","(0.2627657, 0.3279234, 0.5450762510299683)","(0.28716707, 0.3207302, 0.870040774345398)","(0.0, 0.0, 0.25902271270751953)","(0.31436154, 0.37254095, 0.9934666752815247)","(0.29245418, 0.3764434, 0.9456911683082581)","(0.32702827, 0.4779626, 0.9776452779769897)","(0.3035267, 0.48175603, 0.7666059136390686)","(0.32472333, 0.58060086, 0.9359898567199707)","(0.31643578, 0.58671725, 0.7087934613227844)","(0.36039862, 0.5142246, 0.9944283962249756)","(0.3440849, 0.51998895, 0.986101508140564)","(0.37419802, 0.6194756, 0.99031001329422)","(0.35913658, 0.6264585, 0.9788640141487122)","(0.39123276, 0.71617967, 0.9688045978546143)","(0.378711, 0.7246157, 0.9520774483680725)",0
detected_0018.png,"(0.26232174, 0.33186558, 0.76905357837677)","(0.26635548, 0.32178932, 0.7709749937057495)","(0.0, 0.0, 0.33095359802246094)","(0.2848952, 0.3181476, 0.8424360156059265)","(0.0, 0.0, 0.1672903597354889)","(0.31492242, 0.37071595, 0.9918659329414368)","(0.29667434, 0.37070906, 0.9209206104278564)","(0.3302942, 0.47779924, 0.9779557585716248)","(0.3049925, 0.47741443, 0.7213726043701172)","(0.3251739, 0.57905996, 0.935430645942688)","(0.31583565, 0.5865307, 0.664600133895874)","(0.35870475, 0.51407385, 0.9945738911628723)","(0.34524187, 0.5174195, 0.985233724117279)","(0.37121856, 0.6205226, 0.9906174540519714)","(0.35774425, 0.62376034, 0.9777877330780029)","(0.3906022, 0.7166172, 0.9692286252975464)","(0.378339, 0.7209985, 0.9504833817481995)",0
detected_0020.png,"(0.26457748, 0.331172, 0.8425652384757996)","(0.2690378, 0.32019418, 0.8194575309753418)","(0.0, 0.0, 0.49089211225509644)","(0.29028106, 0.31523642, 0.8208246827125549)","(0.0, 0.0, 0.2332136482000351)","(0.3248383, 0.36094835, 0.9907700419425964)","(0.29294223, 0.3792636, 0.9470193982124329)","(0.34778336, 0.44086042, 0.9714345932006836)","(0.30459836, 0.48499423, 0.8033149242401123)","(0.33750924, 0.52762663, 0.9287849068641663)","(0.31491378, 0.590031, 0.7448965907096863)","(0.3626003, 0.51110804, 0.9947234392166138)","(0.3406781, 0.5212577, 0.988930881023407)","(0.37677634, 0.61548924, 0.9911381602287292)","(0.35640314, 0.6263322, 0.9838348627090454)","(0.39523935, 0.71046, 0.9725351929664612)","(0.38147506, 0.7230737, 0.9623660445213318)",0
detected_0022.png,"(0.2645796, 0.32172823, 0.5745790600776672)","(0.26893467, 0.3135806, 0.6258589625358582)","(0.0, 0.0, 0.16161373257637024)","(0.2860952, 0.31727913, 0.837031364440918)","(0.0, 0.0, 0.11815737187862396)","(0.30917314, 0.3790411, 0.9876240491867065)","(0.31030777, 0.35853758, 0.8621554374694824)","(0.31586567, 0.49142048, 0.9665926098823547)","(0.3111278, 0.45378998, 0.5638042688369751)","(0.3089507, 0.58588964, 0.894469141960144)","(0.0, 0.0, 0.49563005566596985)","(0.35475123, 0.5144075, 0.9929822683334351)","(0.35376278, 0.5087837, 0.979401707649231)","(0.36758494, 0.620572, 0.9909374117851257)","(0.36039004, 0.6130903, 0.9770321846008301)","(0.38918152, 0.717184, 0.9756764769554138)","(0.37868503, 0.71524304, 0.9594858288764954)",0
detected_0024.png,"(0.26574162, 0.32907534, 0.8392509818077087)","(0.27120072, 0.31887168, 0.8232170343399048)","(0.0, 0.0, 0.49331316351890564)","(0.29530868, 0.31668267, 0.815178394317627)","(0.0, 0.0, 0.21750368177890778)","(0.32872978, 0.36174595, 0.988335907459259)","(0.29494956, 0.37997705, 0.9379208087921143)","(0.3511635, 0.42849746, 0.9627717137336731)","(0.30335262, 0.47974783, 0.7718365788459778)","(0.34015906, 0.50247693, 0.9120920300483704)","(0.3096665, 0.5839781, 0.7105960845947266)","(0.364792, 0.5077224, 0.9936718940734863)","(0.34167096, 0.5173082, 0.9871777296066284)","(0.37939584, 0.61350244, 0.9906274080276489)","(0.3561385, 0.6243066, 0.9835032224655151)","(0.39548764, 0.70853484, 0.9733546376228333)","(0.3811455, 0.72424525, 0.9643486142158508)",0
detected_0026.png,"(0.27385738, 0.32908484, 0.7444852590560913)","(0.27762264, 0.318871, 0.714979350566864)","(0.0, 0.0, 0.3678560256958008)","(0.29583728, 0.3155691, 0.7763293981552124)","(0.0, 0.0, 0.21455702185630798)","(0.32540742, 0.36201, 0.9850059151649475)","(0.30570245, 0.37486687, 0.9291942715644836)","(0.34393993, 0.43320125, 0.9546463489532471)","(0.3091016, 0.47514313, 0.7560915946960449)","(0.33374977, 0.5015975, 0.8888205885887146)","(0.30574554, 0.5878031, 0.6792178153991699)","(0.3612857, 0.5111149, 0.9935543537139893)","(0.34812227, 0.5184914, 0.9875918626785278)","(0.37493256, 0.6143836, 0.9915558099746704)","(0.36175746, 0.6225959, 0.9858367443084717)","(0.3917348, 0.71249956, 0.9781692028045654)","(0.38087934, 0.7260685, 0.9716442227363586)",0
detected_0028.png,"(0.2718612, 0.30968997, 0.5393676161766052)","(0.275232, 0.30307573, 0.6338904500007629)","(0.0, 0.0, 0.11102237552404404)","(0.28418428, 0.3136503, 0.9266479015350342)","(0.0, 0.0, 0.17243516445159912)","(0.29444507, 0.39005268, 0.9948370456695557)","(0.34268668, 0.31885493, 0.905604362487793)","(0.30385584, 0.5031067, 0.982650101184845)","(0.35388562, 0.292855, 0.5983967781066895)","(0.30472833, 0.5925176, 0.9240744113922119)","(0.33029348, 0.2656976, 0.5120048522949219)","(0.3419836, 0.5219976, 0.9955787062644958)","(0.37313402, 0.49709395, 0.9840703010559082)","(0.35404855, 0.6303539, 0.9933454990386963)","(0.3789172, 0.59967256, 0.9803362488746643)","(0.37681004, 0.73560786, 0.9765309691429138)","(0.39831817, 0.7013262, 0.9588168263435364)",0
detected_0030.png,"(0.27404913, 0.30412707, 0.5176692008972168)","(0.27743328, 0.29890886, 0.5433270335197449)","(0.0, 0.0, 0.11586137115955353)","(0.28851357, 0.3137007, 0.8921135663986206)","(0.0, 0.0, 0.20195744931697845)","(0.2979735, 0.3939827, 0.9932360053062439)","(0.3439827, 0.3249423, 0.9438315629959106)","(0.30377072, 0.49420816, 0.9773732423782349)","(0.36759445, 0.3139909, 0.7827257513999939)","(0.30320907, 0.5908756, 0.9110268950462341)","(0.3507366, 0.2815956, 0.7051237225532532)","(0.34278858, 0.5170329, 0.9954386353492737)","(0.37171724, 0.49048778, 0.9896605014801025)","(0.35532838, 0.62939656, 0.987547755241394)","(0.3805601, 0.6011352, 0.9764641523361206)","(0.38084906, 0.72112924, 0.9450986981391907)","(0.40472877, 0.6996494, 0.9232387542724609)",0
detected_0032.png,"(0.27616408, 0.30488044, 0.5239354968070984)","(0.27930066, 0.29908416, 0.5574823617935181)","(0.0, 0.0, 0.12046826630830765)","(0.28954333, 0.3125234, 0.8953368663787842)","(0.0, 0.0, 0.2067788541316986)","(0.29870147, 0.39284718, 0.9933331608772278)","(0.34499413, 0.32713905, 0.9392816424369812)","(0.30437115, 0.49457502, 0.9768496155738831)","(0.37158445, 0.32766291, 0.7547129392623901)","(0.30369774, 0.5883436, 0.9079870581626892)","(0.35963032, 0.3057326, 0.674911379814148)","(0.3430139, 0.51845634, 0.9952070116996765)","(0.37222257, 0.49296293, 0.9885342717170715)","(0.3546935, 0.6306961, 0.9873305559158325)","(0.38119254, 0.602541, 0.9747057557106018)","(0.38019726, 0.7230104, 0.9462058544158936)","(0.40456006, 0.7003271, 0.9218562841415405)",0
