image_name,"x1, y1, confidence1","x2, y2, confidence2","x3, y3, confidence3","x4, y4, confidence4","x5, y5, confidence5","x6, y6, confidence6","x7, y7, confidence7","x8, y8, confidence8","x9, y9, confidence9","x10, y10, confidence10","x11, y11, confidence11","x12, y12, confidence12","x13, y13, confidence13","x14, y14, confidence14","x15, y15, confidence15","x16, y16, confidence16","x17, y17, confidence17",Y
detected_0003.jpg,"(tensor(0.2877), tensor(0.5469), 0.9630351066589355)","(tensor(0.3050), tensor(0.5207), 0.9180589914321899)","(tensor(0.2608), tensor(0.5200), 0.9379410743713379)","(tensor(0.), tensor(0.), 0.37972623109817505)","(tensor(0.2117), tensor(0.5117), 0.5984300374984741)","(tensor(0.3782), tensor(0.6275), 0.919914960861206)","(tensor(0.1628), tensor(0.6150), 0.7584692239761353)","(tensor(0.), tensor(0.), 0.38548412919044495)","(tensor(0.), tensor(0.), 0.1445770263671875)","(tensor(0.), tensor(0.), 0.4068741798400879)","(tensor(0.), tensor(0.), 0.1923397183418274)","(tensor(0.), tensor(0.), 0.13595245778560638)","(tensor(0.), tensor(0.), 0.08264555782079697)","(tensor(0.), tensor(0.), 0.031944483518600464)","(tensor(0.), tensor(0.), 0.01797913759946823)","(tensor(0.), tensor(0.), 0.01649109087884426)","(tensor(0.), tensor(0.), 0.010990113951265812)",0
detected_0005.jpg,"(tensor(0.2861), tensor(0.5249), 0.9819526076316833)","(tensor(0.3065), tensor(0.5078), 0.9618874788284302)","(tensor(0.2666), tensor(0.4982), 0.9584651589393616)","(tensor(0.3236), tensor(0.5086), 0.5691443085670471)","(tensor(0.2254), tensor(0.4901), 0.5797982215881348)","(tensor(0.3407), tensor(0.6238), 0.9539304971694946)","(tensor(0.1822), tensor(0.5820), 0.8328227400779724)","(tensor(0.3585), tensor(0.8043), 0.6760883331298828)","(tensor(0.), tensor(0.), 0.31764253973960876)","(tensor(0.3048), tensor(0.6784), 0.6549153923988342)","(tensor(0.), tensor(0.), 0.3598969578742981)","(tensor(0.), tensor(0.), 0.41504165530204773)","(tensor(0.), tensor(0.), 0.2726799547672272)","(tensor(0.), tensor(0.), 0.04021518677473068)","(tensor(0.), tensor(0.), 0.02104812115430832)","(tensor(0.), tensor(0.), 0.008234243839979172)","(tensor(0.), tensor(0.), 0.004803974647074938)",0
detected_0018.jpg,"(tensor(0.7786), tensor(0.8720), 0.95225989818573)","(tensor(0.7901), tensor(0.8530), 0.8643094301223755)","(tensor(0.7677), tensor(0.8524), 0.9283226728439331)","(tensor(0.), tensor(0.), 0.20955103635787964)","(tensor(0.7376), tensor(0.7768), 0.5411554574966431)","(tensor(0.8189), tensor(0.6690), 0.9312726855278015)","(tensor(0.6959), tensor(0.7019), 0.9475142359733582)","(tensor(0.9288), tensor(0.6950), 0.9061322212219238)","(tensor(0.6311), tensor(0.8061), 0.9408517479896545)","(tensor(0.9785), tensor(0.8802), 0.9167284369468689)","(tensor(0.5923), tensor(0.9352), 0.9139641523361206)","(tensor(0.6351), tensor(0.5378), 0.983934223651886)","(tensor(0.5626), tensor(0.5371), 0.9816775918006897)","(tensor(0.6262), tensor(0.7524), 0.9808284640312195)","(tensor(0.5367), tensor(0.7598), 0.9827390909194946)","(tensor(0.5004), tensor(0.9110), 0.8607234954833984)","(tensor(0.4106), tensor(0.9154), 0.8665981888771057)",1
detected_0027.jpg,"(tensor(0.6341), tensor(0.3422), 0.8895044922828674)","(tensor(0.6396), tensor(0.3360), 0.8092302083969116)","(tensor(0.6282), tensor(0.3369), 0.7218484282493591)","(tensor(0.6477), tensor(0.3427), 0.6766343712806702)","(tensor(0.), tensor(0.), 0.48374876379966736)","(tensor(0.6616), tensor(0.3878), 0.9826089143753052)","(tensor(0.6142), tensor(0.3920), 0.9704781174659729)","(tensor(0.6789), tensor(0.4461), 0.9412845373153687)","(tensor(0.6063), tensor(0.4511), 0.8719248175621033)","(tensor(0.6696), tensor(0.5025), 0.8939899206161499)","(tensor(0.6062), tensor(0.4971), 0.8207993507385254)","(tensor(0.6582), tensor(0.5027), 0.994814932346344)","(tensor(0.6292), tensor(0.5044), 0.9928801655769348)","(tensor(0.6510), tensor(0.5978), 0.9942979216575623)","(tensor(0.6397), tensor(0.5975), 0.9925639033317566)","(tensor(0.6616), tensor(0.6866), 0.9837835431098938)","(tensor(0.6613), tensor(0.6816), 0.9815136194229126)",0
detected_0028.jpg,"(tensor(0.), tensor(0.), 0.2562504708766937)","(tensor(0.), tensor(0.), 0.048151060938835144)","(tensor(0.), tensor(0.), 0.30383655428886414)","(tensor(0.), tensor(0.), 0.07842067629098892)","(tensor(0.3675), tensor(0.3383), 0.662754476070404)","(tensor(0.3632), tensor(0.3785), 0.7371669411659241)","(tensor(0.3569), tensor(0.3786), 0.9711551666259766)","(tensor(0.), tensor(0.), 0.4595518410205841)","(tensor(0.3698), tensor(0.4463), 0.9643338322639465)","(tensor(0.), tensor(0.), 0.4116862416267395)","(tensor(0.4062), tensor(0.5032), 0.9044803977012634)","(tensor(0.3737), tensor(0.4897), 0.9901024103164673)","(tensor(0.3649), tensor(0.4911), 0.9971258044242859)","(tensor(0.3976), tensor(0.5783), 0.9927237629890442)","(tensor(0.3693), tensor(0.5784), 0.9980533123016357)","(tensor(0.4027), tensor(0.6650), 0.9887646436691284)","(tensor(0.3572), tensor(0.6698), 0.9952775239944458)",0
detected_0029.jpg,"(tensor(0.6743), tensor(0.3399), 0.6222772002220154)","(tensor(0.), tensor(0.), 0.49131613969802856)","(tensor(0.), tensor(0.), 0.38209375739097595)","(tensor(0.6720), tensor(0.3407), 0.6323167085647583)","(tensor(0.), tensor(0.), 0.46869805455207825)","(tensor(0.6618), tensor(0.3840), 0.9531204104423523)","(tensor(0.6858), tensor(0.3822), 0.9260837435722351)","(tensor(0.6398), tensor(0.4432), 0.8737697601318359)","(tensor(0.6965), tensor(0.4377), 0.7602300643920898)","(tensor(0.6236), tensor(0.4917), 0.7745212316513062)","(tensor(0.6843), tensor(0.4827), 0.6657243371009827)","(tensor(0.6618), tensor(0.4915), 0.9839021563529968)","(tensor(0.6722), tensor(0.4900), 0.9796242713928223)","(tensor(0.6617), tensor(0.5786), 0.9848928451538086)","(tensor(0.6476), tensor(0.5766), 0.9812449216842651)","(tensor(0.6818), tensor(0.6672), 0.9681485295295715)","(tensor(0.6391), tensor(0.6640), 0.9641602635383606)",0
detected_0039.jpg,"(tensor(0.), tensor(0.), 0.28364792466163635)","(tensor(0.), tensor(0.), 0.3119727373123169)","(tensor(0.), tensor(0.), 0.07856102287769318)","(tensor(0.5006), tensor(0.5209), 0.6757391095161438)","(tensor(0.), tensor(0.), 0.1344691812992096)","(tensor(0.4918), tensor(0.5471), 0.9354289770126343)","(tensor(0.5343), tensor(0.5546), 0.7456223368644714)","(tensor(0.4789), tensor(0.5851), 0.8642793297767639)","(tensor(0.), tensor(0.), 0.3754079043865204)","(tensor(0.4631), tensor(0.6020), 0.7286537885665894)","(tensor(0.), tensor(0.), 0.30715101957321167)","(tensor(0.4903), tensor(0.6243), 0.9562573432922363)","(tensor(0.5229), tensor(0.6264), 0.9011117815971375)","(tensor(0.4311), tensor(0.6651), 0.9502829909324646)","(tensor(0.4923), tensor(0.6779), 0.8892480731010437)","(tensor(0.4202), tensor(0.7615), 0.8755696415901184)","(tensor(0.5001), tensor(0.7773), 0.8021999597549438)",1
detected_0040.jpg,"(tensor(0.), tensor(0.), 0.2993946969509125)","(tensor(0.), tensor(0.), 0.05187048017978668)","(tensor(0.), tensor(0.), 0.389537513256073)","(tensor(0.), tensor(0.), 0.09117607027292252)","(tensor(0.5173), tensor(0.4922), 0.8608472943305969)","(tensor(0.4723), tensor(0.5268), 0.7609111070632935)","(tensor(0.5154), tensor(0.5324), 0.948828935623169)","(tensor(0.), tensor(0.), 0.3607563376426697)","(tensor(0.5736), tensor(0.5889), 0.8846167325973511)","(tensor(0.), tensor(0.), 0.28562596440315247)","(tensor(0.5961), tensor(0.6336), 0.7410432696342468)","(tensor(0.4420), tensor(0.6484), 0.8335670828819275)","(tensor(0.4716), tensor(0.6548), 0.9145340323448181)","(tensor(0.5237), tensor(0.6172), 0.8287869095802307)","(tensor(0.5521), tensor(0.6211), 0.9253410696983337)","(tensor(0.5237), tensor(0.7253), 0.8038123846054077)","(tensor(0.5504), tensor(0.7280), 0.8795876502990723)",1
detected_0042.jpg,"(tensor(0.), tensor(0.), 0.4104475975036621)","(tensor(0.), tensor(0.), 0.09761740267276764)","(tensor(0.), tensor(0.), 0.2323223501443863)","(tensor(0.), tensor(0.), 0.056239545345306396)","(tensor(0.), tensor(0.), 0.24477346241474152)","(tensor(0.5361), tensor(0.1969), 0.7425914406776428)","(tensor(0.4315), tensor(0.2028), 0.9409419894218445)","(tensor(0.5426), tensor(0.3175), 0.7849778532981873)","(tensor(0.3961), tensor(0.3425), 0.9639034867286682)","(tensor(0.5227), tensor(0.4302), 0.8456438779830933)","(tensor(0.4113), tensor(0.4900), 0.9606067538261414)","(tensor(0.5172), tensor(0.4355), 0.983958899974823)","(tensor(0.4463), tensor(0.4380), 0.9925209283828735)","(tensor(0.5098), tensor(0.6145), 0.9519749283790588)","(tensor(0.4351), tensor(0.6178), 0.977570652961731)","(tensor(0.5059), tensor(0.7695), 0.6750467419624329)","(tensor(0.4169), tensor(0.7767), 0.7765291333198547)",0
detected_0048.jpg,"(tensor(0.2545), tensor(0.4424), 0.8361305594444275)","(tensor(0.2542), tensor(0.4276), 0.7165991067886353)","(tensor(0.2480), tensor(0.4409), 0.6460341811180115)","(tensor(0.2841), tensor(0.4266), 0.649264395236969)","(tensor(0.), tensor(0.), 0.42288827896118164)","(tensor(0.3342), tensor(0.4646), 0.9232562184333801)","(tensor(0.3395), tensor(0.5015), 0.9734987020492554)","(tensor(0.3830), tensor(0.5205), 0.7031870484352112)","(tensor(0.4141), tensor(0.5777), 0.9359566569328308)","(tensor(0.4163), tensor(0.4602), 0.6783503293991089)","(tensor(0.4852), tensor(0.4998), 0.8981075882911682)","(tensor(0.4597), tensor(0.5131), 0.7579873204231262)","(tensor(0.4572), tensor(0.5358), 0.8731712102890015)","(tensor(0.), tensor(0.), 0.3687383234500885)","(tensor(0.4707), tensor(0.5485), 0.5780515074729919)","(tensor(0.), tensor(0.), 0.1828271895647049)","(tensor(0.), tensor(0.), 0.29272809624671936)",1
detected_0049.jpg,"(tensor(0.7532), tensor(0.3962), 0.8251221179962158)","(tensor(0.7643), tensor(0.3907), 0.6317349076271057)","(tensor(0.7531), tensor(0.3781), 0.5715098977088928)","(tensor(0.), tensor(0.), 0.32323142886161804)","(tensor(0.), tensor(0.), 0.35114285349845886)","(tensor(0.6819), tensor(0.4684), 0.9661454558372498)","(tensor(0.6719), tensor(0.3881), 0.9017272591590881)","(tensor(0.5982), tensor(0.5848), 0.9173943400382996)","(tensor(0.6003), tensor(0.4331), 0.7292633652687073)","(tensor(0.5351), tensor(0.4780), 0.9350062608718872)","(tensor(0.5578), tensor(0.4353), 0.7636345624923706)","(tensor(0.4511), tensor(0.4905), 0.9424332976341248)","(tensor(0.4436), tensor(0.4391), 0.89103102684021)","(tensor(0.3083), tensor(0.4282), 0.9125707149505615)","(tensor(0.3306), tensor(0.3810), 0.8248367309570312)","(tensor(0.2238), tensor(0.4256), 0.8355197906494141)","(tensor(0.2284), tensor(0.3968), 0.7299697995185852)",1
