image_name,"x1, y1, confidence1","x2, y2, confidence2","x3, y3, confidence3","x4, y4, confidence4","x5, y5, confidence5","x6, y6, confidence6","x7, y7, confidence7","x8, y8, confidence8","x9, y9, confidence9","x10, y10, confidence10","x11, y11, confidence11","x12, y12, confidence12","x13, y13, confidence13","x14, y14, confidence14","x15, y15, confidence15","x16, y16, confidence16","x17, y17, confidence17",Ωˆ,ß§,§U√€,•b√€,Ø∏•ﬂ
detected_0012.jpg,"(0.18499047, 0.20219815, 0.9220320582389832)","(0.19274786, 0.19165996, 0.9305082559585571)","(0.0, 0.0, 0.4158954620361328)","(0.22316687, 0.19309673, 0.9386684894561768)","(0.0, 0.0, 0.11323095113039017)","(0.25811502, 0.24478455, 0.9944984316825867)","(0.23396814, 0.24446253, 0.9677073359489441)","(0.23583145, 0.33070388, 0.9902995824813843)","(0.20646599, 0.31496614, 0.8672109842300415)","(0.1796684, 0.3683072, 0.9767698645591736)","(0.13505933, 0.33395743, 0.8505243062973022)","(0.32048267, 0.38424388, 0.9921438694000244)","(0.2978292, 0.3804006, 0.9829058647155762)","(0.24497692, 0.45769405, 0.9608740210533142)","(0.18470776, 0.4546048, 0.9072781205177307)","(0.29900533, 0.55233705, 0.7439892888069153)","(0.20887074, 0.5461391, 0.6389448046684265)",,,,,
detected_0037.jpg,"(0.0, 0.0, 0.12420211732387543)","(0.0, 0.0, 0.010728409513831139)","(0.0, 0.0, 0.1845027357339859)","(0.0, 0.0, 0.1326579600572586)","(0.16390157, 0.5737197, 0.9054086208343506)","(0.08367798, 0.6125973, 0.8329834342002869)","(0.15068938, 0.6322606, 0.9882783889770508)","(0.0, 0.0, 0.4048711061477661)","(0.16014405, 0.7233247, 0.9736438989639282)","(0.0, 0.0, 0.3047471046447754)","(0.17383975, 0.8147618, 0.8781436085700989)","(0.006154311, 0.75993454, 0.9634803533554077)","(0.05984042, 0.76961404, 0.9903676509857178)","(0.0549182, 0.8529786, 0.919863224029541)","(0.14588453, 0.8790436, 0.9808175563812256)","(0.034664057, 0.9482544, 0.7444721460342407)","(0.1355841, 0.9905432, 0.8741204738616943)",,,,,
detected_0121.jpg,"(0.9348186, 0.17876011, 0.9812342524528503)","(0.943587, 0.17144284, 0.9299739003181458)","(0.9256506, 0.17292409, 0.974457323551178)","(0.9567674, 0.17756137, 0.6501965522766113)","(0.9140426, 0.18080115, 0.8956100344657898)","(0.9745246, 0.22944896, 0.9771605730056763)","(0.89779747, 0.23357162, 0.9958317875862122)","(0.99562013, 0.29227477, 0.8139888644218445)","(0.877786, 0.29801518, 0.9767568111419678)","(0.9922198, 0.3431681, 0.7437792420387268)","(0.87133664, 0.35719576, 0.9406905770301819)","(0.9597869, 0.35794106, 0.9878498911857605)","(0.9130185, 0.3603197, 0.9947156310081482)","(0.95967215, 0.4546503, 0.9678103923797607)","(0.92613, 0.458395, 0.9868407249450684)","(0.9582826, 0.5398618, 0.8968582153320312)","(0.9442463, 0.54960144, 0.9417625665664673)",,,,,
detected_0122.jpg,"(0.042070128, 0.22160606, 0.9574259519577026)","(0.05128487, 0.21582139, 0.962626039981842)","(0.03343191, 0.21442416, 0.8397853970527649)","(0.06469567, 0.22637722, 0.8768989443778992)","(0.0, 0.0, 0.37413692474365234)","(0.0823854, 0.27817267, 0.9900400042533875)","(0.008302328, 0.2776409, 0.8858720064163208)","(0.10799427, 0.33781517, 0.9572335481643677)","(0.0, 0.0, 0.4181470274925232)","(0.117188886, 0.3959534, 0.8962069153785706)","(0.0, 0.0, 0.405607134103775)","(0.07129994, 0.40429434, 0.9828852415084839)","(0.025564468, 0.40402555, 0.9375622868537903)","(0.06637877, 0.50254816, 0.9665683507919312)","(0.030237863, 0.4998713, 0.890371561050415)","(0.061576832, 0.59869826, 0.8896236419677734)","(0.037469443, 0.59021693, 0.7822036743164062)",,,,,
detected_0147.jpg,"(0.9199647, 0.19877195, 0.7919401526451111)","(0.94052154, 0.17410842, 0.873165488243103)","(0.0, 0.0, 0.23889482021331787)","(0.9942587, 0.17141704, 0.8894988894462585)","(0.0, 0.0, 0.0550105907022953)","(0.9957417, 0.31095558, 0.8689097166061401)","(0.97888577, 0.3033614, 0.6303437948226929)","(0.90230304, 0.5275143, 0.6703005433082581)","(0.0, 0.0, 0.17935888469219208)","(0.784372, 0.6439112, 0.567747175693512)","(0.0, 0.0, 0.22179262340068817)","(0.9793315, 0.6641613, 0.6500563025474548)","(0.9675945, 0.6571642, 0.5244995355606079)","(0.0, 0.0, 0.22807511687278748)","(0.0, 0.0, 0.14614884555339813)","(0.0, 0.0, 0.025982622057199478)","(0.0, 0.0, 0.018828999251127243)",,,,,
detected_0149.jpg,"(0.8805733, 0.117936514, 0.8473396897315979)","(0.89554006, 0.094927885, 0.950975239276886)","(0.0, 0.0, 0.19118139147758484)","(0.9464005, 0.08185854, 0.9678707122802734)","(0.0, 0.0, 0.036244817078113556)","(0.96411717, 0.20730214, 0.9651991724967957)","(0.0, 0.0, 0.49463558197021484)","(0.89580953, 0.44247407, 0.8956980109214783)","(0.0, 0.0, 0.07858766615390778)","(0.79337, 0.5731657, 0.7958590984344482)","(0.0, 0.0, 0.14030961692333221)","(0.98206025, 0.5656059, 0.8560578227043152)","(0.9863578, 0.55885667, 0.5897376537322998)","(0.9439393, 0.7978197, 0.5869744420051575)","(0.0, 0.0, 0.2735719680786133)","(0.0, 0.0, 0.09079132974147797)","(0.0, 0.0, 0.043674178421497345)",,,,,
detected_0156.jpg,"(0.36034936, 0.014302099, 0.9246326684951782)","(0.37195483, 0.0052936315, 0.8031037449836731)","(0.35118127, 0.0038860322, 0.8949546813964844)","(0.0, 0.0, 0.410543292760849)","(0.33358985, 0.0049688937, 0.6926066875457764)","(0.39047533, 0.07044332, 0.9256742596626282)","(0.30081445, 0.04946921, 0.9811058640480042)","(0.3772828, 0.16283199, 0.7177473902702332)","(0.2576982, 0.102227546, 0.9328445196151733)","(0.35338703, 0.23507471, 0.6659569144248962)","(0.26062718, 0.15590426, 0.8769437670707703)","(0.33851287, 0.20855322, 0.9901729822158813)","(0.27938166, 0.19836468, 0.9945563077926636)","(0.31776792, 0.30414155, 0.9903642535209656)","(0.25519937, 0.29891658, 0.9949852228164673)","(0.2932404, 0.3899856, 0.9795636534690857)","(0.24168396, 0.39536574, 0.9867278933525085)",,,,,
detected_0157.jpg,"(0.34351975, 0.026790071, 0.9678984880447388)","(0.3546179, 0.019283962, 0.8957778811454773)","(0.33501747, 0.017008852, 0.9620197415351868)","(0.36633807, 0.024183404, 0.506698489189148)","(0.31748715, 0.017608726, 0.8486150503158569)","(0.36788535, 0.081280515, 0.9521315097808838)","(0.28540337, 0.05997753, 0.9915558099746704)","(0.3553552, 0.15861063, 0.7315084338188171)","(0.24526735, 0.10624795, 0.9605196118354797)","(0.32609475, 0.21269134, 0.6689695119857788)","(0.25090665, 0.1628756, 0.9114751219749451)","(0.3177318, 0.21639505, 0.9914002418518066)","(0.26296407, 0.20536962, 0.9960446357727051)","(0.30014843, 0.3108243, 0.9892458319664001)","(0.2383292, 0.30106488, 0.995257556438446)","(0.27688247, 0.3951829, 0.975669264793396)","(0.22396576, 0.3947311, 0.9857162833213806)",,,,,
detected_0181.jpg,"(0.6540687, 0.30253354, 0.8386951684951782)","(0.65718603, 0.2637878, 0.9791903495788574)","(0.0, 0.0, 0.015793653205037117)","(0.73984337, 0.23513308, 0.9982919096946716)","(0.0, 0.0, 0.011947795748710632)","(0.7763899, 0.43729812, 0.9941949248313904)","(0.9561025, 0.36303306, 0.8080033659934998)","(0.70459914, 0.7885674, 0.9695025086402893)","(0.0, 0.0, 0.13918206095695496)","(0.57988006, 0.7125854, 0.9124166369438171)","(0.0, 0.0, 0.24608871340751648)","(0.0, 0.0, 0.48369866609573364)","(0.0, 0.0, 0.206069216132164)","(0.0, 0.0, 0.04506306350231171)","(0.0, 0.0, 0.013433827087283134)","(0.0, 0.0, 0.003737296210601926)","(0.0, 0.0, 0.0019078808836638927)",,,1,,
detected_0285.jpg,"(0.5219785, 0.36629897, 0.8730223178863525)","(0.5251496, 0.35477823, 0.9269403219223022)","(0.0, 0.0, 0.26769569516181946)","(0.55456764, 0.32975942, 0.9352521896362305)","(0.0, 0.0, 0.043089620769023895)","(0.617278, 0.35635164, 0.9941107630729675)","(0.58075154, 0.34683838, 0.8898364305496216)","(0.59453195, 0.48119694, 0.9902909398078918)","(0.5812746, 0.44769588, 0.6631104946136475)","(0.5246855, 0.5238806, 0.9743446111679077)","(0.5427435, 0.49270672, 0.6912789344787598)","(0.7025739, 0.47321695, 0.9929261803627014)","(0.67165345, 0.46060258, 0.9755463600158691)","(0.60964173, 0.4829492, 0.994096040725708)","(0.5532448, 0.45270267, 0.9778883457183838)","(0.6285112, 0.61549675, 0.9845286011695862)","(0.5652212, 0.57000387, 0.9688489437103271)",,,1,,
