image_name,"x1, y1","x2, y2","x3, y3","x4, y4","x5, y5","x6, y6","x7, y7","x8, y8","x9, y9","x10, y10","x11, y11","x12, y12","x13, y13","x14, y14","x15, y15","x16, y16","x17, y17","xb, yb","w, h",label
0_jpg.rf.279a431bf6f08ce5445372e2a05dd189.jpg,"(0.45381713, 0.56045544)","(0.0, 0.0)","(0.44965377, 0.55622727)","(0.0, 0.0)","(0.43750206, 0.55921674)","(0.4392542, 0.58792245)","(0.42670855, 0.57259524)","(0.44628447, 0.59705997)","(0.43520966, 0.5636195)","(0.4568835, 0.5807573)","(0.43991494, 0.55672157)","(0.42688385, 0.64256537)","(0.42247716, 0.6367769)","(0.44659168, 0.656644)","(0.46751222, 0.6380891)","(0.4322861, 0.70448136)","(0.4797864, 0.681184)","(0.4578125, 0.6359375)","(0.128125, 0.215625)",1
0_jpg.rf.5b9b05ee71a6b74b632c25fb7297f360.jpg,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.50532126, 0.13661566)","(0.0, 0.0)","(0.50366473, 0.2385833)","(0.5935062, 0.23937361)","(0.47631225, 0.38038334)","(0.60480917, 0.3974566)","(0.47720233, 0.48175073)","(0.6028699, 0.52177036)","(0.51353633, 0.49829316)","(0.5753093, 0.49501076)","(0.49612182, 0.6792447)","(0.5603615, 0.67271674)","(0.5117618, 0.8419442)","(0.55959064, 0.8372415)","(0.5375, 0.48125)","(0.16875, 0.828125)",0
0_jpg.rf.626cd65bd869b77586b8686c89c1efcd.jpg,"(0.34801573, 0.651982)","(0.33817664, 0.6478184)","(0.34091985, 0.65694666)","(0.3362928, 0.63981915)","(0.34493572, 0.6633421)","(0.36429963, 0.6145185)","(0.38785157, 0.6480594)","(0.39545375, 0.6030742)","(0.43784308, 0.6587662)","(0.3765239, 0.5999789)","(0.43273005, 0.6437373)","(0.43651766, 0.56260836)","(0.4532575, 0.5787156)","(0.47318107, 0.54829246)","(0.49715033, 0.55742395)","(0.49726787, 0.5431253)","(0.51170146, 0.5357259)","(0.43046874, 0.5921875)","(0.2484375, 0.2125)",1
0_jpg.rf.6e6f30b6a2c401e4cbf0d31e81c7cc20.jpg,"(0.43466958, 0.5620493)","(0.44149667, 0.5522587)","(0.42657304, 0.55468667)","(0.0, 0.0)","(0.4052023, 0.5581433)","(0.4142252, 0.60092276)","(0.3907822, 0.613541)","(0.4108529, 0.67555416)","(0.4063632, 0.69424134)","(0.43879223, 0.70702225)","(0.4395338, 0.727557)","(0.41909266, 0.71533334)","(0.40236053, 0.7305919)","(0.4759139, 0.69102705)","(0.45842043, 0.72135895)","(0.5111784, 0.7421999)","(0.499053, 0.78742707)","(0.44765624, 0.66015625)","(0.1765625, 0.3203125)",1
0_jpg.rf.b137c359f7287e8cd9b247e1f332e511.jpg,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.37944573, 0.22796759)","(0.0, 0.0)","(0.37634683, 0.29024535)","(0.43065563, 0.28355217)","(0.36619297, 0.36336142)","(0.0, 0.0)","(0.35861522, 0.39541686)","(0.0, 0.0)","(0.38666517, 0.44961905)","(0.42371923, 0.444026)","(0.38202173, 0.57766986)","(0.4155488, 0.5622363)","(0.39766154, 0.7029013)","(0.42670545, 0.6799125)","(0.396875, 0.459375)","(0.103125, 0.56875)",0
0_jpg.rf.b34fb256a649f12aa06cca89f2aa8082.jpg,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.5675106, 0.2268317)","(0.0, 0.0)","(0.55838454, 0.3009843)","(0.6291138, 0.30212656)","(0.54056484, 0.40539998)","(0.6284362, 0.41674772)","(0.0, 0.0)","(0.0, 0.0)","(0.56685877, 0.5034924)","(0.615439, 0.50359046)","(0.5714061, 0.63855267)","(0.613943, 0.63747466)","(0.58683735, 0.77495146)","(0.6115507, 0.7752596)","(0.5859375, 0.490625)","(0.134375, 0.65)",0
0_jpg.rf.ba9d906331da2b06d489aa91c5c661d2.jpg,"(0.5273098, 0.33471036)","(0.5309557, 0.3303383)","(0.0, 0.0)","(0.54268324, 0.33345392)","(0.0, 0.0)","(0.54190904, 0.359517)","(0.5373508, 0.35564426)","(0.5164885, 0.38983294)","(0.5116924, 0.37985182)","(0.4945515, 0.39016253)","(0.4867052, 0.38602963)","(0.51907885, 0.409743)","(0.51672435, 0.40428448)","(0.46229705, 0.40767813)","(0.46613032, 0.4035417)","(0.4386755, 0.4163143)","(0.44415498, 0.41177917)","(0.48203126, 0.3765625)","(0.1359375, 0.125)",1
0_jpg.rf.bc0a16f68de410929704c429e37bbff6.jpg,"(0.47499138, 0.9023539)","(0.47521448, 0.90634996)","(0.47870675, 0.9027004)","(0.47191638, 0.91637075)","(0.4858509, 0.90924454)","(0.4416592, 0.9154378)","(0.49255833, 0.8867118)","(0.40562224, 0.90120345)","(0.47041646, 0.84717596)","(0.4153565, 0.905702)","(0.4478693, 0.87712395)","(0.39412576, 0.85086805)","(0.42537528, 0.83585435)","(0.4121961, 0.7363243)","(0.42815477, 0.72064304)","(0.3874455, 0.7756133)","(0.38284343, 0.7665158)","(0.42421874, 0.84765625)","(0.2203125, 0.3046875)",1
0_jpg.rf.cdd2df7342c8ebe1fb955efa86044b86.jpg,"(0.45107332, 0.24424239)","(0.46153504, 0.22989933)","(0.4364583, 0.23113398)","(0.0, 0.0)","(0.4041162, 0.2381248)","(0.45408043, 0.3225554)","(0.37745598, 0.33009687)","(0.0, 0.0)","(0.37531948, 0.45899615)","(0.0, 0.0)","(0.40247434, 0.5863351)","(0.4249277, 0.55153656)","(0.3767324, 0.5564116)","(0.41048375, 0.73136723)","(0.38752845, 0.7399214)","(0.39458683, 0.8870121)","(0.38790542, 0.89974654)","(0.40546876, 0.55859375)","(0.1609375, 0.7984375)",0
0_jpg.rf.d026476a33b4b974d42a50487ee60fb4.jpg,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.18370792, 0.33353987)","(0.11203466, 0.424901)","(0.19541632, 0.43412486)","(0.0, 0.0)","(0.24175167, 0.5703972)","(0.0, 0.0)","(0.280477, 0.6347713)","(0.13660458, 0.69239163)","(0.20478186, 0.69789845)","(0.17172766, 0.84669036)","(0.29815024, 0.8374015)","(0.0, 0.0)","(0.3177044, 0.9513957)","(0.2390625, 0.6296875)","(0.29375, 0.7375)",0
